x1,x2,x3,ganancia,tiempo
30,0,0,1200.0,24.0
29,0,1,1250.0,24.900000000000002
29,2,0,1290.0,25.6
25,5,0,1325.0,26.0
22,8,0,1400.0,27.200000000000003
33,0,1,1410.0,28.1
29,5,0,1485.0,29.200000000000003
25,8,0,1520.0,29.6
35,2,0,1530.0,30.4
27,8,0,1600.0,31.200000000000003
25,0,7,1630.0,31.9
17,6,7,1700.0,32.7
25,7,3,1725.0,33.5
12,20,0,1780.0,33.6
14,12,5,1790.0,34.1
13,18,2,1870.0,35.4
15,3,12,1875.0,36.0
23,8,5,1890.0,36.5
1,25,4,2025.0,37.599999999999994
4,26,2,2030.0,37.8
4,31,0,2175.0,40.4
1,26,5,2180.0,40.5
3,33,0,2265.0,42.0
0,31,3,2285.0,42.3
5,26,5,2340.0,43.699999999999996
6,32,1,2410.0,44.900000000000006
24,21,1,2415.0,46.1
4,4,23,2490.0,47.1
5,36,0,2540.0,47.199999999999996
6,33,2,2565.0,47.8
3,30,6,2610.0,48.6
3,38,1,2680.0,49.7
1,34,5,2700.0,50.1
5,21,14,2825.0,53.0
0,42,2,2910.0,53.8
3,43,0,2915.0,54.0
1,47,0,3095.0,57.199999999999996
0,39,7,3165.0,58.699999999999996
3,47,0,3175.0,58.8
3,45,2,3225.0,59.8
4,34,10,3270.0,61.0
4,30,13,3280.0,61.3
6,34,10,3350.0,62.6
2,50,1,3420.0,63.3
5,50,0,3450.0,64.0
4,42,7,3520.0,65.5
1,47,5,3545.0,65.69999999999999
0,46,7,3620.0,67.1
6,44,7,3730.0,69.5
1,50,6,3830.0,71.0
0,33,19,3855.0,71.9
1,40,14,3900.0,72.6
10,45,7,3955.0,73.9
10,34,15,3960.0,74.3
1,50,8,4010.0,74.39999999999999
5,50,7,4080.0,75.9
1,50,9,4100.0,76.1
4,43,14,4215.0,78.6
7,29,23,4235.0,79.5
8,36,18,4280.0,80.2
2,20,33,4350.0,81.7
0,15,38,4395.0,82.6
16,29,21,4415.0,83.3
5,18,35,4520.0,85.1
0,36,25,4590.0,85.69999999999999
10,19,33,4605.0,86.9
17,37,18,4705.0,88.6
18,34,20,4730.0,89.19999999999999
4,42,21,4780.0,89.3
6,40,22,4820.0,90.2
0,45,22,4905.0,91.4
1,34,30,4950.0,92.6
4,42,23,4960.0,92.7
10,46,18,5010.0,93.8
5,45,22,5105.0,95.4
13,28,31,5130.0,96.7
5,48,21,5210.0,97.3
4,42,26,5230.0,97.8
0,43,28,5315.0,99.2
9,50,19,5320.0,99.5
2,45,26,5345.0,99.8
1,47,26,5435.0,101.39999999999999
4,43,28,5475.0,102.39999999999999
8,44,26,5520.0,103.39999999999999
1,46,28,5550.0,103.6
10,39,30,5635.0,105.8
4,45,29,5695.0,106.5
4,42,32,5770.0,108.0
0,49,29,5795.0,108.1
1,50,28,5810.0,108.39999999999999
