metodo,corrida,semilla,soluciones_finales,iteraciones,soluciones_no_dominadas,porcentaje_no_dominadas,spacing,tiempo_ejecucion_s
NSGA-II,1,10,30,100,27,100.0,0.024446029569365382,3.881474999998318
MOPSO,1,10,30,100,26,86.66666666666667,0.04613765941931498,7.144484000000375
NSGA-II,2,20,30,100,27,100.0,0.023716613055381964,3.8952188000002934
MOPSO,2,20,30,100,25,86.66666666666667,0.048557822463615265,7.0706456000007165
NSGA-II,3,30,30,100,27,100.0,0.027571121625799052,3.8940543999997317
MOPSO,3,30,30,100,28,96.66666666666667,0.022283422720924952,7.400354099998367
NSGA-II,4,40,30,100,26,100.0,0.028206595974956724,3.9022946000004595
MOPSO,4,40,30,100,28,100.0,0.05331559887065282,7.138679800002137
NSGA-II,5,50,30,100,27,100.0,0.021048044133988655,3.908425800000259
MOPSO,5,50,30,100,26,86.66666666666667,0.05385068914266723,7.101634499998909
