alternativa,x1,x2,x3,ganancia,tiempo,metodo,alternativas_equivalentes
1,30,0,0,1200.0,24.0,NSGA-II,1
2,29,0,1,1250.0,24.900000000000002,NSGA-II,1
3,30,1,0,1265.0,25.2,MOPSO,1
4,29,2,0,1290.0,25.6,Ambos,1
5,25,5,0,1325.0,26.0,NSGA-II,1
6,22,8,0,1400.0,27.200000000000003,NSGA-II,1
7,33,0,1,1410.0,28.1,NSGA-II,1
8,21,10,0,1490.0,28.8,MOPSO,1
9,16,14,0,1550.0,29.6,MOPSO,1
10,21,11,0,1555.0,30.0,MOPSO,1
11,13,17,0,1625.0,30.8,MOPSO,1
12,15,16,0,1640.0,31.2,MOPSO,1
13,14,17,0,1665.0,31.6,MOPSO,1
14,10,20,0,1700.0,32.0,MOPSO,1
15,9,21,0,1725.0,32.4,MOPSO,1
16,11,20,0,1740.0,32.8,MOPSO,1
17,17,15,1,1745.0,33.300000000000004,MOPSO,1
18,6,24,0,1800.0,33.6,MOPSO,1
19,5,25,0,1825.0,34.0,MOPSO,1
20,4,26,0,1850.0,34.4,MOPSO,1
21,3,27,0,1875.0,34.8,MOPSO,1
22,2,28,0,1900.0,35.199999999999996,MOPSO,1
23,4,27,0,1915.0,35.6,MOPSO,1
24,2,27,1,1925.0,35.7,MOPSO,1
25,0,30,0,1950.0,36.0,MOPSO,1
26,0,29,1,1975.0,36.5,MOPSO,1
27,1,30,0,1990.0,36.8,MOPSO,1
28,0,28,2,2000.0,37.0,MOPSO,1
29,0,31,0,2015.0,37.199999999999996,MOPSO,1
30,0,27,3,2025.0,37.5,MOPSO,1
31,2,30,0,2030.0,37.6,MOPSO,1
32,0,30,1,2040.0,37.7,MOPSO,1
33,4,29,0,2045.0,38.0,MOPSO,1
34,0,32,0,2080.0,38.4,MOPSO,1
35,1,32,0,2120.0,39.199999999999996,MOPSO,1
36,0,33,0,2145.0,39.6,MOPSO,1
37,1,27,4,2155.0,39.99999999999999,MOPSO,1
38,2,32,0,2160.0,40.0,MOPSO,1
39,4,31,0,2175.0,40.4,NSGA-II,1
40,1,26,5,2180.0,40.5,NSGA-II,1
41,0,31,2,2195.0,40.599999999999994,MOPSO,1
42,0,34,0,2210.0,40.8,MOPSO,1
43,2,33,0,2225.0,41.199999999999996,MOPSO,1
44,0,35,0,2275.0,42.0,MOPSO,1
45,0,31,3,2285.0,42.3,NSGA-II,1
46,0,34,1,2300.0,42.5,MOPSO,1
47,0,30,4,2310.0,42.8,MOPSO,1
48,0,36,0,2340.0,43.199999999999996,MOPSO,1
49,2,35,0,2355.0,43.6,MOPSO,1
50,1,36,0,2380.0,44.0,MOPSO,1
51,0,34,2,2390.0,44.199999999999996,MOPSO,1
52,0,37,0,2405.0,44.4,MOPSO,1
53,2,36,0,2420.0,44.8,MOPSO,1
54,0,29,6,2425.0,45.0,MOPSO,1
55,1,37,0,2445.0,45.199999999999996,MOPSO,1
56,0,38,0,2470.0,45.6,MOPSO,1
57,0,34,3,2480.0,45.9,MOPSO,1
58,0,37,1,2495.0,46.1,MOPSO,1
59,1,38,0,2510.0,46.4,MOPSO,1
60,0,36,2,2520.0,46.599999999999994,MOPSO,1
61,0,39,0,2535.0,46.8,MOPSO,1
62,0,35,3,2545.0,47.1,MOPSO,1
63,0,38,1,2560.0,47.300000000000004,MOPSO,1
64,6,33,2,2565.0,47.8,NSGA-II,1
65,0,40,0,2600.0,48.0,MOPSO,1
66,0,36,3,2610.0,48.3,MOPSO,1
67,0,39,1,2625.0,48.5,MOPSO,1
68,0,35,4,2635.0,48.8,MOPSO,1
69,0,38,2,2650.0,49.0,MOPSO,1
70,0,41,0,2665.0,49.199999999999996,MOPSO,1
71,0,40,1,2690.0,49.7,MOPSO,1
72,0,36,4,2700.0,49.99999999999999,MOPSO,1
73,0,42,0,2730.0,50.4,MOPSO,1
74,0,38,3,2740.0,50.7,MOPSO,1
75,1,42,0,2770.0,51.199999999999996,MOPSO,1
76,0,40,2,2780.0,51.4,MOPSO,1
77,0,39,3,2805.0,51.9,MOPSO,1
78,0,42,1,2820.0,52.1,MOPSO,1
79,0,41,2,2845.0,52.599999999999994,MOPSO,1
80,2,40,2,2860.0,53.0,MOPSO,1
81,0,40,3,2870.0,53.1,MOPSO,1
82,0,43,1,2885.0,53.300000000000004,MOPSO,1
83,0,42,2,2910.0,53.8,NSGA-II,1
84,0,45,0,2925.0,54.0,MOPSO,1
85,0,41,3,2935.0,54.3,MOPSO,1
86,0,40,4,2960.0,54.8,MOPSO,1
87,0,46,0,2990.0,55.199999999999996,MOPSO,1
88,0,38,6,3010.0,55.800000000000004,MOPSO,1
89,0,41,4,3025.0,55.99999999999999,MOPSO,1
90,0,37,7,3035.0,56.3,MOPSO,1
91,0,47,0,3055.0,56.4,MOPSO,1
92,0,36,8,3060.0,56.8,MOPSO,2
93,0,46,1,3080.0,56.9,MOPSO,1
94,1,47,0,3095.0,57.199999999999996,Ambos,1
95,0,38,7,3100.0,57.5,MOPSO,1
96,0,48,0,3120.0,57.599999999999994,MOPSO,1
97,0,44,3,3130.0,57.9,MOPSO,1
98,1,48,0,3160.0,58.4,MOPSO,1
99,0,39,7,3165.0,58.699999999999996,Ambos,1
100,3,47,0,3175.0,58.8,NSGA-II,1
101,0,42,5,3180.0,58.9,MOPSO,1
102,0,45,3,3195.0,59.1,MOPSO,1
103,1,46,2,3210.0,59.4,MOPSO,1
104,0,47,2,3235.0,59.8,MOPSO,1
105,0,46,3,3260.0,60.3,MOPSO,1
106,0,42,6,3270.0,60.6,MOPSO,1
107,0,48,2,3300.0,60.99999999999999,MOPSO,1
108,2,50,0,3330.0,61.599999999999994,MOPSO,1
109,0,50,1,3340.0,61.7,MOPSO,1
110,0,46,4,3350.0,61.99999999999999,MOPSO,1
111,0,42,7,3360.0,62.3,MOPSO,1
112,3,50,0,3370.0,62.4,MOPSO,1
113,2,41,7,3375.0,62.699999999999996,MOPSO,1
114,0,41,8,3385.0,62.8,MOPSO,1
115,1,42,7,3400.0,63.099999999999994,MOPSO,1
116,2,50,1,3420.0,63.3,NSGA-II,1
117,0,50,2,3430.0,63.4,MOPSO,1
118,1,37,11,3435.0,63.9,MOPSO,1
119,5,50,0,3450.0,64.0,NSGA-II,1
120,0,45,6,3465.0,64.2,MOPSO,1
121,1,46,5,3480.0,64.5,MOPSO,1
122,4,50,1,3500.0,64.89999999999999,MOPSO,1
123,1,45,6,3505.0,65.0,MOPSO,1
124,0,50,3,3520.0,65.1,MOPSO,1
125,0,46,6,3530.0,65.39999999999999,MOPSO,1
126,1,47,5,3545.0,65.69999999999999,NSGA-II,1
127,0,45,7,3555.0,65.9,MOPSO,1
128,0,47,6,3595.0,66.6,MOPSO,1
129,0,43,9,3605.0,66.9,MOPSO,1
130,0,46,7,3620.0,67.1,NSGA-II,1
131,1,47,6,3635.0,67.39999999999999,MOPSO,1
132,1,50,4,3650.0,67.6,MOPSO,1
133,0,41,11,3655.0,67.89999999999999,MOPSO,1
134,0,47,7,3685.0,68.3,MOPSO,1
135,0,50,5,3700.0,68.5,MOPSO,1
136,0,46,8,3710.0,68.8,MOPSO,1
137,6,44,7,3730.0,69.5,NSGA-II,1
138,0,44,10,3760.0,69.8,MOPSO,1
139,0,47,8,3775.0,70.0,MOPSO,1
140,0,43,11,3785.0,70.3,MOPSO,1
141,0,49,7,3815.0,70.7,MOPSO,1
142,1,50,6,3830.0,71.0,NSGA-II,1
143,0,48,8,3840.0,71.19999999999999,MOPSO,1
144,0,44,11,3850.0,71.5,MOPSO,1
145,0,47,9,3865.0,71.7,MOPSO,1
146,0,36,17,3870.0,72.1,MOPSO,1
147,1,44,11,3890.0,72.3,MOPSO,1
148,0,49,8,3905.0,72.39999999999999,MOPSO,1
149,1,46,10,3930.0,73.0,MOPSO,1
150,1,49,8,3945.0,73.19999999999999,MOPSO,1
151,0,47,10,3955.0,73.39999999999999,MOPSO,1
152,0,50,8,3970.0,73.6,MOPSO,1
153,0,46,11,3980.0,73.89999999999999,MOPSO,1
154,2,45,11,3995.0,74.3,MOPSO,1
155,1,50,8,4010.0,74.39999999999999,Ambos,1
156,0,44,13,4030.0,74.89999999999999,MOPSO,1
157,0,47,11,4045.0,75.1,MOPSO,1
158,2,50,8,4050.0,75.19999999999999,MOPSO,1
159,0,50,9,4060.0,75.3,MOPSO,1
160,5,50,7,4080.0,75.9,NSGA-II,1
161,2,45,12,4085.0,76.0,MOPSO,1
162,1,50,9,4100.0,76.1,Ambos,1
163,4,50,8,4130.0,76.8,MOPSO,1
164,0,43,15,4145.0,77.1,MOPSO,1
165,2,49,10,4165.0,77.39999999999999,MOPSO,1
166,0,49,11,4175.0,77.5,MOPSO,1
167,0,48,12,4200.0,78.0,MOPSO,1
168,0,47,13,4225.0,78.5,MOPSO,1
169,0,50,11,4240.0,78.7,MOPSO,1
170,0,46,14,4250.0,79.0,MOPSO,1
171,0,49,12,4265.0,79.2,MOPSO,1
172,0,48,13,4290.0,79.69999999999999,MOPSO,1
173,0,44,16,4300.0,80.0,MOPSO,1
174,0,50,12,4330.0,80.4,MOPSO,1
175,0,46,15,4340.0,80.69999999999999,MOPSO,1
176,0,49,13,4355.0,80.89999999999999,MOPSO,1
177,1,50,12,4370.0,81.2,MOPSO,1
178,0,48,14,4380.0,81.39999999999999,MOPSO,1
179,0,47,15,4405.0,81.89999999999999,MOPSO,1
180,0,50,13,4420.0,82.1,MOPSO,1
181,0,49,14,4445.0,82.6,MOPSO,1
