alternativa,x1,x2,x3,ganancia,tiempo,metodo,alternativas_equivalentes,ganancia_normalizada,tiempo_normalizado,distancia_ideal_positiva,distancia_ideal_negativa,puntaje_topsis,ranking_topsis,puntaje_suma_ponderada,ranking_suma_ponderada
1,30,0,0,1200.0,24.0,NSGA-II,1,0.0,1.0,0.5,0.5,0.49999999999949996,261,0.5,261
2,29,0,1,1250.0,24.900000000000002,NSGA-II,1,0.010845986984815618,0.9893364928909952,0.49460574497469884,0.4946979713925278,0.5000466117812473,259,0.5000912399379054,259
3,30,1,0,1265.0,25.2,MOPSO,1,0.014099783080260303,0.985781990521327,0.49300136650822923,0.49294141049396023,0.4999695945765477,263,0.4999408868007936,263
4,29,2,0,1290.0,25.6,Ambos,1,0.019522776572668113,0.9810426540284359,0.49033023734674364,0.49061844335192495,0.5001469016727642,255,0.500282715300552,255
5,25,5,0,1325.0,26.0,NSGA-II,1,0.027114967462039046,0.976303317535545,0.4865867906386821,0.4883398891375193,0.5008990924826459,237,0.5017091424987921,230
6,22,8,0,1400.0,27.200000000000003,NSGA-II,1,0.04338394793926247,0.962085308056872,0.47868355803323087,0.481531490901084,0.5014829661699277,218,0.5027346279980672,209
7,33,0,1,1410.0,28.1,NSGA-II,1,0.0455531453362256,0.9514218009478672,0.47784114509968706,0.4762558483548801,0.49916921615062154,272,0.4984874731420464,272
8,21,10,0,1490.0,28.8,MOPSO,1,0.06290672451193059,0.9431279620853081,0.4694087333181843,0.4726117880607736,0.5017000981766816,213,0.5030173432986194,200
9,16,14,0,1550.0,29.6,MOPSO,1,0.07592190889370933,0.9336492890995259,0.463228543836529,0.4683655440161335,0.5027571021787182,189,0.5047855989966177,167
10,21,11,0,1555.0,30.0,MOPSO,1,0.0770065075921909,0.9289099526066351,0.46286358191846205,0.4660482009039428,0.5017141665351693,212,0.502958230099413,201
11,13,17,0,1625.0,30.8,MOPSO,1,0.09219088937093275,0.9194312796208531,0.4556886821187989,0.4620208431521902,0.5034499810986023,174,0.505811084495893,140
12,15,16,0,1640.0,31.2,MOPSO,1,0.09544468546637744,0.9146919431279621,0.4542845423350611,0.4598290548690303,0.5030327262114477,182,0.5050683142971698,156
13,14,17,0,1665.0,31.6,MOPSO,1,0.10086767895878525,0.9099526066350709,0.45181507937229703,0.45776304868908235,0.5032696307949136,178,0.5054101427969281,148
14,10,20,0,1700.0,32.0,MOPSO,1,0.10845986984815618,0.9052132701421801,0.4482823685547721,0.45584388989241115,0.5041816733370943,162,0.5068365699951681,117
15,9,21,0,1725.0,32.4,MOPSO,1,0.113882863340564,0.9004739336492892,0.44584442851872774,0.4538233719588685,0.5044343831328054,158,0.5071783984949266,106
16,11,20,0,1740.0,32.8,MOPSO,1,0.11713665943600868,0.8957345971563981,0.44449942416777904,0.4516806021755756,0.5040065487936,168,0.5064356282962034,127
17,17,15,1,1745.0,33.300000000000004,MOPSO,1,0.11822125813449023,0.8898104265402844,0.4443184364015169,0.4488147894885775,0.5025171793836102,193,0.5040158423373873,180
18,6,24,0,1800.0,33.6,MOPSO,1,0.1301518438177874,0.886255924170616,0.4386267005096348,0.4478808618306554,0.5052194486054806,140,0.5082038839942017,84
19,5,25,0,1825.0,34.0,MOPSO,1,0.13557483731019523,0.8815165876777251,0.436253705109431,0.44594058765228645,0.5054902205904777,137,0.5085457124939602,72
20,4,26,0,1850.0,34.4,MOPSO,1,0.14099783080260303,0.8767772511848342,0.4338976182555624,0.44402104017891797,0.50576558080016,131,0.5088875409937186,56
21,3,27,0,1875.0,34.8,MOPSO,1,0.14642082429501085,0.8720379146919431,0.43155871688380804,0.4421224893758242,0.5060455532380222,122,0.509229369493477,41
22,2,28,0,1900.0,35.199999999999996,MOPSO,1,0.15184381778741865,0.8672985781990521,0.4292372819238255,0.4402452068865589,0.5063301590908298,115,0.5095711979932354,20
23,4,27,0,1915.0,35.6,MOPSO,1,0.15509761388286333,0.862559241706161,0.4280040899649256,0.4381962218244429,0.505883241855138,130,0.5088284277945122,59
24,2,27,1,1925.0,35.7,MOPSO,1,0.15726681127982647,0.8613744075829384,0.42702935561956773,0.437806669652537,0.506230842447021,118,0.5093206094313825,34
25,0,30,0,1950.0,36.0,MOPSO,1,0.16268980477223427,0.8578199052132701,0.4246479548949702,0.43655554124215723,0.506913340691012,95,0.5102548549927521,1
26,0,29,1,1975.0,36.5,MOPSO,1,0.1681127982646421,0.8518957345971564,0.4224840795348388,0.43416248558725024,0.5068163502469267,99,0.5100042664308992,6
27,1,30,0,1990.0,36.8,MOPSO,1,0.17136659436008678,0.8483412322274881,0.4211987959339027,0.4327381875799233,0.506756582668152,101,0.5098539132937875,10
28,0,28,2,2000.0,37.0,MOPSO,1,0.1735357917570499,0.8459715639810427,0.4203474296962848,0.4317935149134588,0.5067160751332062,102,0.5097536778690462,13
29,0,31,0,2015.0,37.199999999999996,MOPSO,1,0.17678958785249457,0.8436018957345971,0.4189677045089149,0.43096366345089376,0.5070570162445941,87,0.5101957417935459,2
30,0,27,3,2025.0,37.5,MOPSO,1,0.1789587852494577,0.8400473933649288,0.41823842263964695,0.4294490278010806,0.5066124638005387,106,0.5095030893071932,23
31,2,30,0,2030.0,37.6,MOPSO,1,0.18004338394793926,0.838862559241706,0.4178199752948868,0.4289831038050828,0.5065913367491812,109,0.5094529715948226,26
32,0,30,1,2040.0,37.7,MOPSO,1,0.1822125813449024,0.8376777251184834,0.4168707182788444,0.42863311700102286,0.5069558517834938,93,0.5099451532316929,8
33,4,29,0,2045.0,38.0,MOPSO,1,0.18329718004338394,0.8341232227488151,0.41668891314634476,0.427012706760796,0.5061181544338953,120,0.5087102013960996,66
34,0,32,0,2080.0,38.4,MOPSO,1,0.19088937093275488,0.8293838862559243,0.413451892104367,0.4255338948650515,0.507200362000954,77,0.5101366285943396,3
35,1,32,0,2120.0,39.199999999999996,MOPSO,1,0.19956616052060738,0.8199052132701421,0.4102220324382258,0.4219215600003436,0.5070297528379799,89,0.5097356868953747,14
36,0,33,0,2145.0,39.6,MOPSO,1,0.20498915401301518,0.815165876777251,0.40810718516845046,0.42027251870809856,0.5073428486246727,71,0.5100775153951331,4
37,1,27,4,2155.0,39.99999999999999,MOPSO,1,0.20715835140997832,0.8104265402843603,0.4075953803613029,0.4182420829364789,0.5064460036310584,111,0.5087924458471693,61
38,2,32,0,2160.0,40.0,MOPSO,1,0.20824295010845986,0.8104265402843601,0.40706796812126844,0.4183767152540734,0.5068500938703417,97,0.50933474519641,33
39,4,31,0,2175.0,40.4,NSGA-II,1,0.21149674620390455,0.8056872037914693,0.406046439467645,0.4164921199759233,0.5063496600781439,113,0.5085919749976869,70
40,1,26,5,2180.0,40.5,NSGA-II,1,0.21258134490238612,0.8045023696682464,0.40566225541115664,0.41605735512136155,0.5063252109210682,116,0.5085418572853162,73
41,0,31,2,2195.0,40.599999999999994,MOPSO,1,0.2158351409978308,0.8033175355450237,0.40422720032117304,0.415903796268946,0.5071187383450368,82,0.5095763382714272,19
